outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
H01,Female household members,1,S02,Distance to corresponding district capital,5,secondary,P75,2.318147586523065,.70361137,3.2880907,5.5212274,.55148512,-7.5333161,14.109498,30.570131,.10755894,-.24642734,.46154523,0,underidentified
H02,Household members age 15-29,2,S02,Distance to corresponding district capital,5,secondary,P25,1.146943949585455,-.62822199,-7.1096716,11.064354,.52050024,-28.795408,14.576064,27.020237,-.26312396,-1.0656978,.53944987,0,underidentified
H02,Household members age 15-29,2,S02,Distance to corresponding district capital,5,secondary,P50,1.758562309362709,.067279391,2.0730629,8.0088568,.79575384,-13.624008,17.770134,27.020237,.0767226,-.504215,.65766019,0,underidentified
H02,Household members age 15-29,2,S02,Distance to corresponding district capital,5,secondary,P75,2.318147586523065,.70361137,10.474582,19.582956,.59273106,-27.907309,48.856472,27.020237,.3876569,-1.0328299,1.8081437,0,underidentified
H03,Members living in another CCPP,3,S02,Distance to corresponding district capital,5,secondary,P25,1.146943949585455,-.62822199,-20.209736,35.047428,.56418294,-88.901436,48.481964,42.900391,-.4710851,-2.0722756,1.1301054,0,underidentified
H03,Members living in another CCPP,3,S02,Distance to corresponding district capital,5,secondary,P50,1.758562309362709,.067279391,28.582434,20.983959,.17316361,-12.545373,69.710236,42.900391,.66625112,-.29243028,1.6249325,0,underidentified
H03,Members living in another CCPP,3,S02,Distance to corresponding district capital,5,secondary,P75,2.318147586523065,.70361137,73.223633,62.240364,.23940894,-48.765236,195.21251,42.900391,1.7068291,-1.1367084,4.5503664,0,underidentified
H04,Members with secondary education or higher,4,S02,Distance to corresponding district capital,5,secondary,P25,1.146943949585455,-.62822199,-4.2577977,15.913057,.78903317,-35.446815,26.931221,38.88879,-.1094865,-.91149187,.69251889,0,underidentified
H04,Members with secondary education or higher,4,S02,Distance to corresponding district capital,5,secondary,P50,1.758562309362709,.067279391,3.5210786,11.180681,.75281841,-18.392653,25.434811,38.88879,.090542249,-.47295514,.65403962,0,underidentified
H04,Members with secondary education or higher,4,S02,Distance to corresponding district capital,5,secondary,P75,2.318147586523065,.70361137,10.638171,28.848116,.71230298,-45.903095,67.179436,38.88879,.27355367,-1.1803683,1.7274756,0,underidentified
