outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
I07,Reports any disability,7,S04,Respondent age,7,secondary,P75,53,.68155026,-11.354252,8.2569656,.16909675,-27.537607,4.8291035,38.063755,-.29829565,-.72346014,.12686883,1,pass
I08,Core wellbeing proxy,8,S04,Respondent age,7,secondary,P25,23,-.88949144,11.838603,8.8186073,.1794478,-5.44555,29.122757,23.535637,.50300753,-.23137465,1.2373898,1,pass
I08,Core wellbeing proxy,8,S04,Respondent age,7,secondary,P50,38,-.1039706,11.732452,8.3928661,.1621408,-4.7172637,28.182169,23.535637,.49849734,-.20043068,1.1974254,1,pass
I08,Core wellbeing proxy,8,S04,Respondent age,7,secondary,P75,53,.68155026,11.626301,8.6341372,.17812505,-5.2962961,28.548899,23.535637,.49398711,-.22503304,1.2130072,1,pass
I01,Female,1,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,55.238377,94.157394,.55743212,-129.30673,239.78348,49.720139,1.110986,-2.6006913,4.8226633,0,underidentified
I01,Female,1,S05,CCPP altitude,8,secondary,P50,3372,.25928947,10.079866,14.562194,.48881537,-18.46151,38.621243,49.720139,.20273207,-.37130848,.77677262,0,underidentified
I01,Female,1,S05,CCPP altitude,8,secondary,P75,3675,.61643088,-22.34437,54.188263,.68008506,-128.55141,83.862671,49.720139,-.44940281,-2.5854998,1.6866943,0,underidentified
I02,Age 15-29,2,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,25.153009,71.183586,.72382301,-114.36425,164.67027,45.926296,.54768211,-2.4901693,3.5855336,0,underidentified
I02,Age 15-29,2,S05,CCPP altitude,8,secondary,P50,3372,.25928947,3.4762161,12.582785,.78234249,-21.185589,28.138021,45.926296,.075691193,-.4612954,.61267781,0,underidentified
I02,Age 15-29,2,S05,CCPP altitude,8,secondary,P75,3675,.61643088,-12.087927,40.227097,.76380175,-90.931587,66.75573,45.926296,-.26320273,-1.979946,1.4535406,0,underidentified
I03,Lives in another CCPP,3,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,377.46237,651.31122,.56222337,-899.08417,1654.0089,49.652363,7.6021028,-18.10758,33.311787,0,underidentified
I03,Lives in another CCPP,3,S05,CCPP altitude,8,secondary,P50,3372,.25928947,53.021149,94.34774,.5741325,-131.89703,237.93933,49.652363,1.0678475,-2.65641,4.7921047,0,underidentified
I03,Lives in another CCPP,3,S05,CCPP altitude,8,secondary,P75,3675,.61643088,-179.93073,387.65176,.64253628,-939.71423,579.85278,49.652363,-3.6238098,-18.925871,11.678251,0,underidentified
I04,Secondary education or higher,4,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,30.163305,77.802139,.69824362,-122.32608,182.65269,49.984344,.60345507,-2.4472878,3.6541979,0,underidentified
I04,Secondary education or higher,4,S05,CCPP altitude,8,secondary,P50,3372,.25928947,5.8657017,17.301418,.73458707,-28.044456,39.77586,49.984344,.11735077,-.56106478,.79576635,0,underidentified
I04,Secondary education or higher,4,S05,CCPP altitude,8,secondary,P75,3675,.61643088,-11.580208,39.478592,.76927084,-88.956825,65.79641,49.984344,-.2316767,-1.7796937,1.3163403,0,underidentified
