outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_tier,moderator_type,spec_id,estimator,estimand,h,n_left,n_right,min_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
P05,wellbeing_core_proxy_2013,Core wellbeing proxy,5,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,10.338116,16.440899,.52947688,-21.885452,42.561684,12.264152,.84295404,-1.7845061,3.4704142,,,,,,,1,assignment_hte_supported,0,,.8355476545250934
P06,share_nbi_any_2013,Households with any unmet basic need,6,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,29.437735,28.88711,.30817389,-27.179962,86.055428,28.583105,1.0298998,-.95091003,3.0107095,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.64208722,0,underidentified,0,,
P06,share_nbi_any_2013,Households with any unmet basic need,6,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,47.224831,59.523777,.42755789,-69.439629,163.8893,28.377171,1.6641839,-2.4470243,5.7753921,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.57047606,0,underidentified,0,,.8443943170400766
P06,share_nbi_any_2013,Households with any unmet basic need,6,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,15.841949,29.646412,.5930903,-42.26395,73.947845,28.377171,.5582639,-1.4893644,2.6058922,,,,,,,1,assignment_hte_supported,0,,.8355476545250934
P07,labor_force_participation_2013,Labor-force participation,7,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,7.1830168,15.494245,.64293969,-23.185144,37.551178,15.319365,.46888477,-1.5134535,2.4512229,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.85145271,0,underidentified,0,,
P07,labor_force_participation_2013,Labor-force participation,7,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,25.851078,25.897938,.31818694,-24.907948,76.6101,14.978951,1.725827,-1.6628634,5.1145172,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.32789078,0,underidentified,0,,.8443943170400766
P07,labor_force_participation_2013,Labor-force participation,7,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,19.874878,15.032469,.18612489,-9.5882215,49.337975,14.978951,1.3268538,-.640113,3.2938206,,,,,,,1,assignment_hte_supported,0,,.5414542284878817
P08,share_educ_secondaryplus_2013,Secondary education or higher,8,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-.14477047,22.906712,.99495739,-45.0411,44.75156,15.72756,-.0092048906,-2.8638327,2.845423,1.5056461,4.6830401,3.3110802,3.3110802,.052716147,.5638203,0,underidentified,0,,
P08,share_educ_secondaryplus_2013,Secondary education or higher,8,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,43,22,22,45,1,4.091434,31.002333,.8950066,-56.67202,64.854889,15.745008,.25985596,-3.5993643,4.1190763,.97451401,2.7996526,2.1186087,2.1186087,.092391722,.50323695,0,underidentified,0,,.954673703511556
P08,share_educ_secondaryplus_2013,Secondary education or higher,8,100,S03,Baseline CCPP economic development,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,43,22,22,45,1,14.60044,20.741516,.48148042,-26.052183,55.253063,15.745008,.92730594,-1.6546313,3.5092432,,,,,,,1,assignment_hte_supported,0,,.8355476545250934
P01,ln_sisfoh2013_population,Log rostered population,1,1,S05,CCPP altitude,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-2.1724722,3.8033955,.56786895,-9.6269903,5.2820458,1.1692562,-1.857995,-8.2334309,4.5174408,.17098856,.66456932,.34398782,.34398782,.44747069,.49578282,0,underidentified,0,,
P01,ln_sisfoh2013_population,Log rostered population,1,1,S05,CCPP altitude,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,42,22,22,44,1,-7.7999144,18.250227,.66909724,-43.569702,27.969872,1.1571223,-6.740787,-37.6535,24.171925,.10519468,.23903386,.2104715,.2104715,.59669042,.43397805,0,underidentified,0,,.8443943170400766
P01,ln_sisfoh2013_population,Log rostered population,1,1,S05,CCPP altitude,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,42,22,22,44,1,-1.3006216,.77446508,.093077905,-2.8185453,.21730211,1.1571223,-1.124014,-2.4358234,.1877953,,,,,,,1,assignment_hte_supported,0,,.3309436639149984
P02,ln_sisfoh2013_households,Log rostered households,2,1,S05,CCPP altitude,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,-1.8686275,2.8568487,.5130558,-7.467948,3.7306931,1.0526391,-1.7751834,-7.0945001,3.5441332,.17098856,.66456932,.34398782,.34398782,.44747069,.13006219,0,underidentified,0,,
P02,ln_sisfoh2013_households,Log rostered households,2,1,S05,CCPP altitude,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,42,22,22,44,1,-6.7316122,14.91091,.65166128,-35.956459,22.493235,1.0428447,-6.4550481,-34.47921,21.569113,.10519468,.23903386,.2104715,.2104715,.59669042,.32766888,0,underidentified,0,,.8443943170400766
P02,ln_sisfoh2013_households,Log rostered households,2,1,S05,CCPP altitude,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,42,22,22,44,1,-1.1647757,.63154519,.065135539,-2.4025815,.073030144,1.0428447,-1.1169215,-2.3038728,.070029743,,,,,,,1,assignment_hte_supported,0,,.2605421543121338
P03,share_age_15_29_2013,Residents age 15-29,3,100,S05,CCPP altitude,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,53.675266,88.069336,.54221559,-118.93746,226.28799,13.763603,3.8997977,-8.641448,16.441044,.17098856,.66456932,.34398782,.34398782,.44747069,.038762711,0,underidentified,0,,
P03,share_age_15_29_2013,Residents age 15-29,3,100,S05,CCPP altitude,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,42,22,22,44,1,83.790756,181.88722,.64503235,-272.70163,440.28314,13.620196,6.1519494,-20.021858,32.325756,.10519468,.23903386,.2104715,.2104715,.59669042,.09009409,0,underidentified,0,,.8443943170400766
P03,share_age_15_29_2013,Residents age 15-29,3,100,S05,CCPP altitude,secondary,continuous,common_h_rdhte,rdhte,assignment_hte,.0075,42,22,22,44,1,-1.8747116,7.1422873,.79295099,-15.873338,12.123915,13.620196,-.13764206,-1.1654265,.89014244,,,,,,,1,assignment_hte_supported,0,,.8868431880556303
P04,share_any_program_2013,Residents in any social program,4,100,S05,CCPP altitude,secondary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,.0075,41,22,22,43,1,105.47987,142.15636,.45808795,-173.14146,384.10123,13.993115,7.5379834,-12.373332,27.449299,.17098856,.66456932,.34398782,.34398782,.44747069,.17013192,0,underidentified,0,,
P04,share_any_program_2013,Residents in any social program,4,100,S05,CCPP altitude,secondary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,.0075,42,22,22,44,1,130.61848,244.96234,.59388226,-349.49887,610.73584,14.081318,9.2760124,-24.82004,43.372066,.10519468,.23903386,.2104715,.2104715,.59669042,.11050443,0,underidentified,0,,.8443943170400766
