outcome_id,outcome_var,outcome_label,paper_order,scale,moderator_id,moderator_label,moderator_order,moderator_tier,moderator_type,spec_id,estimator,estimand,weighting,cluster_rule,h,n_left,n_right,ccpp_left,ccpp_right,min_obs_cell,min_cluster_cell,clusters,support_pass,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,kp_f,sw_f_treat,sw_f_interaction,min_sw_f,underid_p,ar_p,gate_pass,gate_status,estimation_rc,p_holm,q_bh
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,8.1298676,10.058273,.41893134,-11.583985,27.843719,49.852848,.16307728,-.23236355,.55851811,1.2293546,3.8452163,3.6971681,3.6971681,.085320666,.096163869,0,underidentified,0,1,
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,-9.2987118,50.694389,.8544631,-108.65789,90.060471,49.812748,-.18667334,-2.1813269,1.8079803,.046461012,.14523512,.10377287,.10377287,.7395196,.77273804,0,underidentified,0,,
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,3693,1760,39,22,1760,22,46,1,8.1298676,9.7162504,.40274501,-10.913634,27.173368,49.852848,.16307728,-.21891695,.54507154,1.2579315,3.7211423,3.8988576,3.7211423,.087749392,.082990445,0,underidentified,0,,
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,5079,10086,55,31,5079,31,86,1,8.6500759,22.115299,.69569713,-34.695114,51.995266,49.824776,.17360994,-.69634259,1.0435624,.16166481,.41917399,.32886466,.32886466,.57437903,.046744034,0,underidentified,0,,
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2813,1249,26,16,1249,16,42,1,-14.030839,18.752827,.45434037,-50.785702,22.724026,49.868126,-.28135884,-1.0184001,.45568237,.25944388,.62630004,.74916309,.62630004,.44463903,.2997351,0,underidentified,0,,
I05,employed_age14_2017,Employed in the reference week,5,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,-2.072629,11.459979,.85647899,-24.533775,20.388515,49.852848,-.041574936,-.49212381,.40897393,,,,,,,0,secondary_assignment_supported,0,1,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,-9.2006912,13.102673,.4825547,-34.881458,16.480074,32.390976,-.28405106,-1.0768881,.50878596,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.53494614,0,underidentified,0,,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,-10.074498,15.400132,.51299417,-40.258202,20.109207,32.019386,-.31463745,-1.2573072,.62803227,1.1921533,4.1240911,4.090404,4.090404,.087539367,.40846294,0,underidentified,0,,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,-10.074498,15.803897,.52381927,-41.049568,20.90057,32.019386,-.31463745,-1.2820224,.65274739,1.2293546,3.8452163,3.6971681,3.6971681,.085320666,.40730089,0,underidentified,0,1,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,34.420876,121.39977,.77676809,-203.5183,272.36005,36.593079,.9406389,-5.5616608,7.4429388,.046461012,.14523512,.10377287,.10377287,.7395196,.070174068,0,underidentified,0,,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,3693,1760,39,22,1760,22,46,1,-10.074498,14.789312,.49574414,-39.061016,18.912022,32.019386,-.31463745,-1.2199178,.59064287,1.2579315,3.7211423,3.8988576,3.7211423,.087749392,.38664904,0,underidentified,0,,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,5079,10086,55,31,5079,31,86,1,-25.594141,68.057938,.7068693,-158.98526,107.79697,32.437351,-.789033,-4.9013019,3.3232358,.16166481,.41917399,.32886466,.32886466,.57437903,.75124574,0,underidentified,0,,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2813,1249,26,16,1249,16,42,1,-12.3545,42.21212,.76976937,-95.088737,70.379738,31.857988,-.38779911,-2.9847689,2.2091708,.25944388,.62630004,.74916309,.62630004,.44463903,.58195728,0,underidentified,0,,
I06,insurance_any_2017,Any health insurance,6,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,-.48598769,10.027551,.96134543,-20.139626,19.16765,32.019386,-.015177921,-.62898231,.59862643,,,,,,,0,secondary_assignment_supported,0,1,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,16.352701,7.5842643,.03107309,1.4878163,31.217587,37.709377,.43365079,.03945481,.82784677,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.032443427,0,underidentified,0,,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,.73690748,8.0673532,.92721897,-15.074815,16.54863,38.063755,.019359821,-.39604121,.43476087,1.1921533,4.1240911,4.090404,4.090404,.087539367,.22729298,0,underidentified,0,,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,.73690748,8.7375374,.9327876,-16.388351,17.862165,38.063755,.019359821,-.43055007,.46926969,1.2293546,3.8452163,3.6971681,3.6971681,.085320666,.20938033,0,underidentified,0,1,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,-34.237514,145.92601,.81450182,-320.24725,251.77222,33.81015,-1.0126401,-9.4719257,7.4466453,.046461012,.14523512,.10377287,.10377287,.7395196,.58219922,0,underidentified,0,,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_score_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,score_mass,.0075,3693,1760,39,22,1760,22,46,1,.73690748,9.3815689,.93739182,-17.650631,19.124445,38.063755,.019359821,-.46371228,.50243193,1.2579315,3.7211423,3.8988576,3.7211423,.087749392,.26468977,0,underidentified,0,,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,large_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.01,5079,10086,55,31,5079,31,86,1,7.5999207,21.763643,.72693717,-35.056034,50.255878,38.345772,.19819449,-.91420859,1.3105975,.16166481,.41917399,.32886466,.32886466,.57437903,.51847726,0,underidentified,0,,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,small_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.005,2813,1249,26,16,1249,16,42,1,.08012896,25.097178,.99745256,-49.109436,49.269691,37.798275,.0021199104,-1.2992506,1.3034904,.25944388,.62630004,.74916309,.62630004,.44463903,.097557612,0,underidentified,0,,
I07,disability_any_2017,Reports any disability,7,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_rdhte,rdhte,assignment_hte,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,7.3455014,7.4880481,.32661077,-7.3308034,22.021807,38.063755,.1929789,-.19259277,.57855058,,,,,,,0,secondary_assignment_supported,0,1,
I08,wellbeing_core_2017,Core wellbeing proxy,8,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_covariates,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3393,1760,37,22,1760,22,59,1,7.2601013,13.428661,.58875418,-19.059591,33.579792,23.574078,.30796969,-.80849785,1.4244372,1.6341536,5.8827229,4.5506668,4.5506668,.072401971,.42649016,0,underidentified,0,,
I08,wellbeing_core_2017,Core wellbeing proxy,8,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_district_cluster,ivreg2,fuzzy_late_interaction,ccpp_equal,district,.0075,3693,1760,39,22,1760,22,43,1,10.814721,16.339376,.50804752,-21.209867,42.83931,23.535637,.4595041,-.90118092,1.8201891,1.1921533,4.1240911,4.090404,4.090404,.087539367,.20724954,0,underidentified,0,,
I08,wellbeing_core_2017,Core wellbeing proxy,8,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_iv,ivreg2,fuzzy_late_interaction,ccpp_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,10.814721,17.051031,.52591372,-22.604687,44.234131,23.535637,.4595041,-.96044511,1.8794533,1.2293546,3.8452163,3.6971681,3.6971681,.085320666,.18874349,0,underidentified,0,1,
I08,wellbeing_core_2017,Core wellbeing proxy,8,100,M01,Log baseline CCPP population,1,primary,continuous,common_h_observation_equal,ivreg2,fuzzy_late_interaction,person_equal,ccpp,.0075,3693,1760,39,22,1760,22,61,1,20.466957,120.45448,.86507744,-215.61948,256.55341,24.649584,.83031654,-8.7473879,10.408021,.046461012,.14523512,.10377287,.10377287,.7395196,.15697482,0,underidentified,0,,
