grid_scope,candidate_id,candidate_label,candidate_type,team_review_eligible,subset_size,candidate_n
broad_atlas,leaveout_dept_04,Leave out: CAJAMARCA,atlas_leave_one_out,0,14,5622
broad_atlas,leaveout_dept_05,Leave out: CUSCO,atlas_leave_one_out,0,14,5566
broad_atlas,leaveout_dept_06,Leave out: HUANCAVELICA,atlas_leave_one_out,0,14,5291
broad_atlas,leaveout_dept_07,Leave out: HUANUCO,atlas_leave_one_out,0,14,4854
broad_atlas,leaveout_dept_08,Leave out: JUNIN,atlas_leave_one_out,0,14,4954
broad_atlas,leaveout_dept_09,Leave out: LA LIBERTAD,atlas_leave_one_out,0,14,5694
broad_atlas,leaveout_dept_10,Leave out: LIMA,atlas_leave_one_out,0,14,5660
broad_atlas,leaveout_dept_11,Leave out: PASCO,atlas_leave_one_out,0,14,5351
broad_atlas,leaveout_dept_12,Leave out: PIURA,atlas_leave_one_out,0,14,5636
broad_atlas,leaveout_dept_13,Leave out: PUNO,atlas_leave_one_out,0,14,5486
broad_atlas,leaveout_dept_14,Leave out: SAN MARTIN,atlas_leave_one_out,0,14,5155
broad_atlas,leaveout_dept_15,Leave out: UCAYALI,atlas_leave_one_out,0,14,5502
broad_atlas,province_cell_001,Province cell: ANCASH BOLOGNESI,atlas_province_cell,0,1,18
broad_atlas,province_cell_002,Province cell: ANCASH CARHUAZ,atlas_province_cell,0,1,2
broad_atlas,province_cell_003,Province cell: ANCASH HUARAZ,atlas_province_cell,0,1,14
broad_atlas,province_cell_004,Province cell: ANCASH HUARI,atlas_province_cell,0,1,21
broad_atlas,province_cell_005,Province cell: ANCASH OCROS,atlas_province_cell,0,1,5
broad_atlas,province_cell_006,Province cell: ANCASH RECUAY,atlas_province_cell,0,1,4
broad_atlas,province_cell_007,Province cell: ANCASH YUNGAY,atlas_province_cell,0,1,1
broad_atlas,province_cell_008,Province cell: APURIMAC ABANCAY,atlas_province_cell,0,1,64
broad_atlas,province_cell_009,Province cell: APURIMAC ANDAHUAYLAS,atlas_province_cell,0,1,93
broad_atlas,province_cell_010,Province cell: APURIMAC ANTABAMBA,atlas_province_cell,0,1,31
broad_atlas,province_cell_011,Province cell: APURIMAC AYMARAES,atlas_province_cell,0,1,94
broad_atlas,province_cell_012,Province cell: APURIMAC CHINCHEROS,atlas_province_cell,0,1,78
broad_atlas,province_cell_013,Province cell: APURIMAC COTABAMBAS,atlas_province_cell,0,1,61
broad_atlas,province_cell_014,Province cell: APURIMAC GRAU,atlas_province_cell,0,1,65
broad_atlas,province_cell_015,Province cell: AYACUCHO CANGALLO,atlas_province_cell,0,1,127
broad_atlas,province_cell_016,Province cell: AYACUCHO HUAMANGA,atlas_province_cell,0,1,333
broad_atlas,province_cell_017,Province cell: AYACUCHO HUANCASANCOS,atlas_province_cell,0,1,33
broad_atlas,province_cell_018,Province cell: AYACUCHO HUANTA,atlas_province_cell,0,1,237
broad_atlas,province_cell_019,Province cell: AYACUCHO LA MAR,atlas_province_cell,0,1,295
broad_atlas,province_cell_020,Province cell: AYACUCHO LUCANAS,atlas_province_cell,0,1,88
broad_atlas,province_cell_021,Province cell: AYACUCHO PARINACOCHAS,atlas_province_cell,0,1,52
broad_atlas,province_cell_022,Province cell: AYACUCHO PAUCAR DEL SARA SARA,atlas_province_cell,0,1,18
broad_atlas,province_cell_023,Province cell: AYACUCHO SUCRE,atlas_province_cell,0,1,28
broad_atlas,province_cell_024,Province cell: AYACUCHO VICTOR FAJARDO,atlas_province_cell,0,1,67
broad_atlas,province_cell_025,Province cell: AYACUCHO VILCAS HUAMAN,atlas_province_cell,0,1,110
broad_atlas,province_cell_026,Province cell: CAJAMARCA CAJABAMBA,atlas_province_cell,0,1,71
broad_atlas,province_cell_027,Province cell: CAJAMARCA SAN MARCOS,atlas_province_cell,0,1,19
broad_atlas,province_cell_028,Province cell: CUSCO ACOMAYO,atlas_province_cell,0,1,5
broad_atlas,province_cell_029,Province cell: CUSCO CALCA,atlas_province_cell,0,1,1
broad_atlas,province_cell_030,Province cell: CUSCO CANAS,atlas_province_cell,0,1,11
broad_atlas,province_cell_031,Province cell: CUSCO CANCHIS,atlas_province_cell,0,1,8
broad_atlas,province_cell_032,Province cell: CUSCO CHUMBIVILCAS,atlas_province_cell,0,1,16
broad_atlas,province_cell_033,Province cell: CUSCO LA CONVENCION,atlas_province_cell,0,1,104
broad_atlas,province_cell_034,Province cell: CUSCO PARURO,atlas_province_cell,0,1,1
broad_atlas,province_cell_035,Province cell: HUANCAVELICA ACOBAMBA,atlas_province_cell,0,1,56
broad_atlas,province_cell_036,Province cell: HUANCAVELICA ANGARAES,atlas_province_cell,0,1,76
broad_atlas,province_cell_037,Province cell: HUANCAVELICA CASTROVIRREYNA,atlas_province_cell,0,1,22
broad_atlas,province_cell_038,Province cell: HUANCAVELICA CHURCAMPA,atlas_province_cell,0,1,107
broad_atlas,province_cell_039,Province cell: HUANCAVELICA HUANCAVELICA,atlas_province_cell,0,1,92
broad_atlas,province_cell_040,Province cell: HUANCAVELICA HUAYTARA,atlas_province_cell,0,1,21
broad_atlas,province_cell_041,Province cell: HUANCAVELICA TAYACAJA,atlas_province_cell,0,1,47
broad_atlas,province_cell_042,Province cell: HUANUCO AMBO,atlas_province_cell,0,1,122
broad_atlas,province_cell_043,Province cell: HUANUCO DOS DE MAYO,atlas_province_cell,0,1,32
broad_atlas,province_cell_044,Province cell: HUANUCO HUACAYBAMBA,atlas_province_cell,0,1,10
broad_atlas,province_cell_045,Province cell: HUANUCO HUAMALIES,atlas_province_cell,0,1,115
broad_atlas,province_cell_046,Province cell: HUANUCO HUANUCO,atlas_province_cell,0,1,140
broad_atlas,province_cell_047,Province cell: HUANUCO LAURICOCHA,atlas_province_cell,0,1,34
broad_atlas,province_cell_048,Province cell: HUANUCO LEONCIO PRADO,atlas_province_cell,0,1,241
broad_atlas,province_cell_049,Province cell: HUANUCO MARANON,atlas_province_cell,0,1,43
broad_atlas,province_cell_050,Province cell: HUANUCO PACHITEA,atlas_province_cell,0,1,38
broad_atlas,province_cell_051,Province cell: HUANUCO PUERTO INCA,atlas_province_cell,0,1,36
broad_atlas,province_cell_052,Province cell: HUANUCO YAROWILCA,atlas_province_cell,0,1,47
broad_atlas,province_cell_053,Province cell: JUNIN CHANCHAMAYO,atlas_province_cell,0,1,53
broad_atlas,province_cell_054,Province cell: JUNIN CHUPACA,atlas_province_cell,0,1,19
broad_atlas,province_cell_055,Province cell: JUNIN CONCEPCION,atlas_province_cell,0,1,113
broad_atlas,province_cell_056,Province cell: JUNIN HUANCAYO,atlas_province_cell,0,1,151
broad_atlas,province_cell_057,Province cell: JUNIN JAUJA,atlas_province_cell,0,1,70
broad_atlas,province_cell_058,Province cell: JUNIN JUNIN,atlas_province_cell,0,1,62
broad_atlas,province_cell_059,Province cell: JUNIN SATIPO,atlas_province_cell,0,1,229
broad_atlas,province_cell_060,Province cell: JUNIN TARMA,atlas_province_cell,0,1,53
broad_atlas,province_cell_061,Province cell: JUNIN YAULI,atlas_province_cell,0,1,8
broad_atlas,province_cell_062,Province cell: LA LIBERTAD OTUZCO,atlas_province_cell,0,1,5
broad_atlas,province_cell_063,Province cell: LA LIBERTAD SANCHEZ CARRION,atlas_province_cell,0,1,9
broad_atlas,province_cell_064,Province cell: LA LIBERTAD SANTIAGO DE CHUCO,atlas_province_cell,0,1,4
broad_atlas,province_cell_065,Province cell: LIMA CAJATAMBO,atlas_province_cell,0,1,13
broad_atlas,province_cell_066,Province cell: LIMA OYON,atlas_province_cell,0,1,11
broad_atlas,province_cell_067,Province cell: LIMA YAUYOS,atlas_province_cell,0,1,28
broad_atlas,province_cell_068,Province cell: PASCO DANIEL ALCIDES CARRION,atlas_province_cell,0,1,97
broad_atlas,province_cell_069,Province cell: PASCO OXAPAMPA,atlas_province_cell,0,1,174
broad_atlas,province_cell_070,Province cell: PASCO PASCO,atlas_province_cell,0,1,90
broad_atlas,province_cell_071,Province cell: PIURA AYABACA,atlas_province_cell,0,1,1
broad_atlas,province_cell_072,Province cell: PIURA HUANCABAMBA,atlas_province_cell,0,1,72
broad_atlas,province_cell_073,Province cell: PIURA MORROPON,atlas_province_cell,0,1,2
broad_atlas,province_cell_074,Province cell: PIURA PIURA,atlas_province_cell,0,1,1
broad_atlas,province_cell_075,Province cell: PUNO AZANGARO,atlas_province_cell,0,1,116
broad_atlas,province_cell_076,Province cell: PUNO CARABAYA,atlas_province_cell,0,1,4
broad_atlas,province_cell_077,Province cell: PUNO HUANCANE,atlas_province_cell,0,1,23
broad_atlas,province_cell_078,Province cell: PUNO LAMPA,atlas_province_cell,0,1,15
broad_atlas,province_cell_079,Province cell: PUNO MELGAR,atlas_province_cell,0,1,52
broad_atlas,province_cell_080,Province cell: PUNO PUNO,atlas_province_cell,0,1,1
broad_atlas,province_cell_081,Province cell: PUNO SAN ANTONIO DE PUTINA,atlas_province_cell,0,1,12
broad_atlas,province_cell_082,Province cell: PUNO SANDIA,atlas_province_cell,0,1,3
broad_atlas,province_cell_083,Province cell: SAN MARTIN BELLAVISTA,atlas_province_cell,0,1,51
broad_atlas,province_cell_084,Province cell: SAN MARTIN EL DORADO,atlas_province_cell,0,1,38
broad_atlas,province_cell_085,Province cell: SAN MARTIN HUALLAGA,atlas_province_cell,0,1,35
broad_atlas,province_cell_086,Province cell: SAN MARTIN LAMAS,atlas_province_cell,0,1,73
broad_atlas,province_cell_087,Province cell: SAN MARTIN MARISCAL CACERES,atlas_province_cell,0,1,63
broad_atlas,province_cell_088,Province cell: SAN MARTIN MOYOBAMBA,atlas_province_cell,0,1,31
broad_atlas,province_cell_089,Province cell: SAN MARTIN PICOTA,atlas_province_cell,0,1,28
broad_atlas,province_cell_090,Province cell: SAN MARTIN RIOJA,atlas_province_cell,0,1,28
broad_atlas,province_cell_091,Province cell: SAN MARTIN SAN MARTIN,atlas_province_cell,0,1,37
broad_atlas,province_cell_092,Province cell: SAN MARTIN TOCACHE,atlas_province_cell,0,1,173
broad_atlas,province_cell_093,Province cell: UCAYALI ATALAYA,atlas_province_cell,0,1,9
broad_atlas,province_cell_094,Province cell: UCAYALI CORONEL PORTILLO,atlas_province_cell,0,1,105
broad_atlas,province_cell_095,Province cell: UCAYALI PADRE ABAD,atlas_province_cell,0,1,96
dept_subset,conflict_dept_subset_001,Conflict-belt departments: APURIMAC,bounded_department_subset,0,1,486
dept_subset,conflict_dept_subset_002,Conflict-belt departments: AYACUCHO,bounded_department_subset,0,1,1388
dept_subset,conflict_dept_subset_003,Conflict-belt departments: APURIMAC + AYACUCHO,bounded_department_subset,0,2,1874
dept_subset,conflict_dept_subset_004,Conflict-belt departments: CUSCO,bounded_department_subset,0,1,146
dept_subset,conflict_dept_subset_005,Conflict-belt departments: APURIMAC + CUSCO,bounded_department_subset,0,2,632
dept_subset,conflict_dept_subset_006,Conflict-belt departments: AYACUCHO + CUSCO,bounded_department_subset,0,2,1534
dept_subset,conflict_dept_subset_007,Conflict-belt departments: APURIMAC + AYACUCHO + CUSCO,bounded_department_subset,0,3,2020
dept_subset,conflict_dept_subset_008,Conflict-belt departments: HUANCAVELICA,bounded_department_subset,0,1,421
dept_subset,conflict_dept_subset_009,Conflict-belt departments: APURIMAC + HUANCAVELICA,bounded_department_subset,0,2,907
dept_subset,conflict_dept_subset_010,Conflict-belt departments: AYACUCHO + HUANCAVELICA,bounded_department_subset,0,2,1809
dept_subset,conflict_dept_subset_011,Conflict-belt departments: APURIMAC + AYACUCHO + HUANCAVELICA,bounded_department_subset,0,3,2295
dept_subset,conflict_dept_subset_012,Conflict-belt departments: CUSCO + HUANCAVELICA,bounded_department_subset,0,2,567
dept_subset,conflict_dept_subset_013,Conflict-belt departments: APURIMAC + CUSCO + HUANCAVELICA,bounded_department_subset,0,3,1053
dept_subset,conflict_dept_subset_014,Conflict-belt departments: AYACUCHO + CUSCO + HUANCAVELICA,bounded_department_subset,0,3,1955
dept_subset,conflict_dept_subset_015,Conflict-belt departments: APURIMAC + AYACUCHO + CUSCO + HUANCAVELICA,bounded_department_subset,0,4,2441
dept_subset,conflict_dept_subset_016,Conflict-belt departments: HUANUCO,bounded_department_subset,0,1,858
dept_subset,conflict_dept_subset_017,Conflict-belt departments: APURIMAC + HUANUCO,bounded_department_subset,0,2,1344
dept_subset,conflict_dept_subset_018,Conflict-belt departments: AYACUCHO + HUANUCO,bounded_department_subset,0,2,2246
dept_subset,conflict_dept_subset_019,Conflict-belt departments: APURIMAC + AYACUCHO + HUANUCO,bounded_department_subset,0,3,2732
dept_subset,conflict_dept_subset_020,Conflict-belt departments: CUSCO + HUANUCO,bounded_department_subset,0,2,1004
dept_subset,conflict_dept_subset_021,Conflict-belt departments: APURIMAC + CUSCO + HUANUCO,bounded_department_subset,0,3,1490
dept_subset,conflict_dept_subset_022,Conflict-belt departments: AYACUCHO + CUSCO + HUANUCO,bounded_department_subset,0,3,2392
dept_subset,conflict_dept_subset_023,Conflict-belt departments: APURIMAC + AYACUCHO + CUSCO + HUANUCO,bounded_department_subset,0,4,2878
dept_subset,conflict_dept_subset_024,Conflict-belt departments: HUANCAVELICA + HUANUCO,bounded_department_subset,0,2,1279
dept_subset,conflict_dept_subset_025,Conflict-belt departments: APURIMAC + HUANCAVELICA + HUANUCO,bounded_department_subset,0,3,1765
dept_subset,conflict_dept_subset_026,Conflict-belt departments: AYACUCHO + HUANCAVELICA + HUANUCO,bounded_department_subset,0,3,2667
dept_subset,conflict_dept_subset_027,Conflict-belt departments: APURIMAC + AYACUCHO + HUANCAVELICA + HUANUCO,bounded_department_subset,0,4,3153
dept_subset,conflict_dept_subset_028,Conflict-belt departments: CUSCO + HUANCAVELICA + HUANUCO,bounded_department_subset,0,3,1425
dept_subset,conflict_dept_subset_029,Conflict-belt departments: APURIMAC + CUSCO + HUANCAVELICA + HUANUCO,bounded_department_subset,0,4,1911
dept_subset,conflict_dept_subset_030,Conflict-belt departments: AYACUCHO + CUSCO + HUANCAVELICA + HUANUCO,bounded_department_subset,0,4,2813
dept_subset,conflict_dept_subset_031,Conflict-belt departments: APURIMAC + AYACUCHO + CUSCO + HUANCAVELICA + HUANUCO,bounded_department_subset,0,5,3299
dept_subset,conflict_dept_subset_032,Conflict-belt departments: JUNIN,bounded_department_subset,0,1,758
dept_subset,conflict_dept_subset_033,Conflict-belt departments: APURIMAC + JUNIN,bounded_department_subset,0,2,1244
dept_subset,conflict_dept_subset_034,Conflict-belt departments: AYACUCHO + JUNIN,bounded_department_subset,0,2,2146
dept_subset,conflict_dept_subset_035,Conflict-belt departments: APURIMAC + AYACUCHO + JUNIN,bounded_department_subset,0,3,2632
dept_subset,conflict_dept_subset_036,Conflict-belt departments: CUSCO + JUNIN,bounded_department_subset,0,2,904
dept_subset,conflict_dept_subset_037,Conflict-belt departments: APURIMAC + CUSCO + JUNIN,bounded_department_subset,0,3,1390
dept_subset,conflict_dept_subset_038,Conflict-belt departments: AYACUCHO + CUSCO + JUNIN,bounded_department_subset,0,3,2292
dept_subset,conflict_dept_subset_039,Conflict-belt departments: APURIMAC + AYACUCHO + CUSCO + JUNIN,bounded_department_subset,0,4,2778
