candidate_id,candidate_label,cutoff,outcome_var,outcome_label,eligible_n,analysis_n,missing_n,n_left,n_right,unique_left,unique_right,clusters_left,clusters_right,support_ok,estimation_rc,tau_cl,tau_bc,se_rb,p_rb,ci_left,ci_right,effective_left,effective_right
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,ab,wellbeing_core_2007,2007 ecological wellbeing score,1162,995,167,494,501,362,447,185,167,1,0,.0440751000064193,.0455466550894197,.0430927602220474,.2905369262652029,-.0389136029402135,.1300069131190528,198,115
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,altitude_m,Altitude in meters,1335,1124,211,649,475,239,350,232,184,1,0,-748.999616810328,-919.7930774094507,480.2308327419179,.0554524074803217,-1861.028213849288,21.44205903038687,121,92
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,ln1p_dist_dist_capital,Log distance to district capital,1335,1125,210,650,475,239,350,233,184,1,0,.2708911943228727,.3341608662671942,.3683073063296038,.3642544222226137,-.3877081893817902,1.056029921916179,156,109
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,ln_population_2007,Log 2007 population,1335,1172,163,670,502,245,363,233,187,1,0,.0094969301701546,.0157758180336991,.3860169580441752,.9674009694172347,-.7408035171545934,.7723551532219916,150,104
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,share_female_2007,2007 female population share,1335,1172,163,670,502,245,363,233,187,1,0,-.0228220585391044,-.0301493679790213,.0193513622706026,.1192339149923957,-.0680773410811897,.007778605123147,117,79
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,share_indigenous_language_2007,2007 indigenous-language share,1335,1172,163,670,502,245,363,233,187,1,0,-.0784672255697099,-.0761423739546985,.1205061688445096,.5274819090061795,-.3123301248048399,.160045376895443,167,114
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,share_literate_2007,2007 literacy share,1335,1172,163,670,502,245,363,233,187,1,0,.0202826855063893,.0190364359664801,.0397262575288759,.6318032774629725,-.0588255980306797,.0968984699636399,195,137
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,urban_2007,Urban community in 2007,1335,1172,163,670,502,245,363,233,187,1,0,.008459972845978,.0395644740064141,.1264227489203718,.7543157966050223,-.2082195607040646,.2873485087168927,151,107
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,bc,wellbeing_core_2007,2007 ecological wellbeing score,1335,1169,166,667,502,245,363,232,187,1,0,-.0034198309272584,-.0033443410284728,.0492739802240087,.945887246306099,-.0999195676424688,.0932308855855232,141,102
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,cd,altitude_m,Altitude in meters,1477,1273,204,623,650,57,239,235,231,1,0,-19.53481052048755,84.82908091953414,434.1998022005644,.845104264102148,-766.1868934879872,935.8450553270554,166,132
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,cd,ln1p_dist_dist_capital,Log distance to district capital,1477,1274,203,623,651,57,239,235,232,1,0,.3450907497290494,.4432844560193265,.3550496119483577,.2118428384976954,-.2525999961243763,1.139168908163029,106,87
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,cd,ln_population_2007,Log 2007 population,1477,1319,158,648,671,57,245,236,232,1,0,-.5582418254081372,-.66734502325831,.3692186276802638,.0706918002309234,-1.39100023593293,.0563101894163103,109,92
cvr5_no_ayacucho,CVR high-burden departments excluding Ayacucho,cd,share_female_2007,2007 female population share,1477,1319,158,648,671,57,245,236,232,1,0,-.0125180505002478,-.0169377382254527,.017629884561739,.3366828299693932,-.0514916770180598,.0176162005671543,116,99
