grid_scope,cutoff,treatment_year,candidate_cells,support_cells,successful_cells,positive_ci_cells,strong_positive_cells,median_tau,max_tau,max_robust_wald,max_effective_n
broad_atlas,de,2011,230,91,87,0,0,-.0713908343427228,.0772212125613466,4.822434283901616,370
broad_atlas,de,2012,230,91,84,0,0,-.0713492440035227,.0546558991929265,5.782259858809335,252
broad_atlas,de,2013,230,91,91,0,0,-.0689873791890245,.0546558991929265,3.787194937997043,316
broad_atlas,de,2014,230,91,89,0,0,-.0662219558870162,.0560854933925846,5.17075204790012,250
broad_atlas,de,2015,230,91,89,0,0,-.0662219558870162,.0560854933925846,5.17075204790012,250
broad_atlas,de,2016,230,91,89,0,0,-.0662219558870162,.0560854933925846,5.17075204790012,250
broad_atlas,de,2017,230,91,89,0,0,-.0662219558870162,.0560854933925846,5.17075204790012,250
broad_atlas,de,2018,230,91,89,0,0,-.0662219558870162,.0560854933925846,5.17075204790012,250
broad_atlas,de,2019,230,91,91,0,0,-.0707841197539625,.0560854933925846,5.125745361066097,250
broad_atlas,de,2020,230,91,91,0,0,-.0694632153627507,.0722103394658996,5.464362671619179,370
broad_atlas,de,2021,230,91,91,0,0,-.0373821817947538,.5742944524021568,3.096487273141542,350
broad_atlas,de,2022,230,123,113,2,0,-.1549365698937053,1.270574015382992,5.240283769968979,404
broad_atlas,de,2023,230,124,110,0,0,.0253102480943809,.8461933163495683,5.989693667582427,348
dept_subset,ab,2007,127,126,126,0,0,-.0493653586220553,.0997625956375042,2.026391913880659,306
dept_subset,ab,2008,127,127,127,0,0,.0786765806385451,.4626436611767796,3.805803577291063,613
dept_subset,ab,2009,127,127,127,0,0,.068892207729615,.2927492618487093,2.092720458143592,441
dept_subset,ab,2010,127,127,127,0,0,-.0564747650517531,.1882590303089779,7.092323006115553,393
dept_subset,ab,2011,127,127,127,0,0,-.0666499538850419,.1523433071315184,4.656204044704468,423
dept_subset,ab,2012,127,127,127,0,0,-.0386198265353171,.1658103678545995,3.096601008645611,404
dept_subset,ab,2013,127,127,127,0,0,-.1321091786468573,.1708829983916323,9.553154759728724,352
dept_subset,ab,2014,127,127,127,0,0,-.3069441729713869,.1594181716475397,9.841707899812349,270
dept_subset,ab,2015,127,127,127,0,0,-.2455385863270387,.1594181716475397,6.658708196577994,282
dept_subset,ab,2016,127,127,127,0,0,-.2224795098726899,.2991552518878722,9.132097662980225,293
dept_subset,ab,2017,127,127,127,0,0,-.1747725160654279,.1855050032953489,6.403046591002546,331
dept_subset,ab,2018,127,127,127,0,0,-.0632613764724159,.1814794246387654,2.664940878024377,522
dept_subset,ab,2019,127,127,127,2,0,.0132714770889268,.3371589235842412,6.556527969164224,612
dept_subset,ab,2020,127,126,126,7,0,.0506324389644993,.3811796610884923,6.921414344698131,556
dept_subset,ab,2021,127,126,126,1,0,.0294351348818469,.2868662631681571,4.803137569849483,570
dept_subset,ab,2022,127,126,126,9,0,.0451381629271031,.2798830548885329,8.66357146398974,535
dept_subset,ab,2023,127,126,126,4,0,.0315196973174865,.2798843659732937,7.136864751742514,558
dept_subset,bc,2007,127,125,125,0,0,.009434528682981,.103000247449997,3.734509227725495,487
dept_subset,bc,2008,127,126,126,0,0,-.0033336923820465,.3960874190788202,3.481791306223926,417
dept_subset,bc,2009,127,126,126,9,0,.0064982278069953,1.22373012605681,14.56243711954557,417
dept_subset,bc,2010,127,126,126,12,1,-.0071601864028013,1.396367802431597,21.4100650687322,501
dept_subset,bc,2011,127,126,126,9,0,-.0047325046654622,1.255084656477447,13.84119370806593,567
dept_subset,bc,2012,127,126,126,17,3,.045970676761602,1.255181283884758,44.48620520776744,564
dept_subset,bc,2013,127,126,126,22,7,.0909250815582483,1.217489482915283,66.17663106433275,646
dept_subset,bc,2014,127,126,126,22,7,.0902958664083679,1.278219070290808,67.43439466067184,638
dept_subset,bc,2015,127,126,126,26,7,.1218669616715286,1.278219070290808,67.42702053057941,648
dept_subset,bc,2016,127,126,126,31,7,.1508211562292006,1.279397672054539,67.27177310005793,646
dept_subset,bc,2017,127,126,126,68,12,.3251059658644955,1.141475374877843,132.1825028795796,574
dept_subset,bc,2018,127,126,126,61,1,.2937928506423559,.8481737908732313,22.41374355913065,539
dept_subset,bc,2019,127,126,126,51,0,.2323484099714078,.8679361351079236,15.46762634932161,519
dept_subset,bc,2020,127,126,126,17,0,.1119604064174079,.6561688541620339,7.242155459063548,547
dept_subset,bc,2021,127,126,126,12,0,.106548541434462,.5760327224148192,6.308998551168392,491
dept_subset,bc,2022,127,126,126,0,0,.0092562042865896,.3220742742973934,2.572447367203052,555
dept_subset,bc,2023,127,126,126,0,0,.0315719219401844,.3004764120722796,2.569276321843075,573
dept_subset,cd,2007,127,96,96,6,0,.0660928479149439,.1333454267771561,4.064371473999379,546
dept_subset,cd,2008,127,126,126,0,0,-.081533438115389,.0792444253008973,5.335342595350987,432
dept_subset,cd,2009,127,126,126,0,0,-.1103332498089906,.0909546447258955,7.301673024319057,336
dept_subset,cd,2010,127,126,126,0,0,-.0670781219905211,.0512982863685231,3.596690953329825,403
dept_subset,cd,2011,127,126,126,0,0,-.0541529841079115,.0926470767696501,3.465249294563318,364
dept_subset,cd,2012,127,126,126,0,0,-.069675295388632,.1255635824736815,5.055771941487339,362
dept_subset,cd,2013,127,126,126,0,0,-.0357409838876401,.3471834131050779,5.843259766321593,369
